match_id,team,opponent_team,match_date,venue,Season,runs_scored,wickets_lost ,overs_faced,runs_conceded,wickets_taken,match_result,man_of_the_match
1312200,Rajasthan Royals,Gujarat Titans,29-05-2022,Ahmedabad,2022,144,9,14,147,3,Gujarat Titans,HH Pandya
1312199,Royal Challengers Bangalore,Rajasthan Royals,27-05-2022,Ahmedabad,2022,80,2,11,81,0,Rajasthan Royals,JC Buttler
1312198,Royal Challengers Bangalore,Lucknow Super Giants,25-05-2022,Kolkata,2022,125,9,10,69,7,Royal Challengers Bangalore,RM Patidar
1312197,Rajasthan Royals,Gujarat Titans,24-05-2022,Kolkata,2022,129,10,19,130,3,Gujarat Titans,DA Miller
1304116,Sunrisers Hyderabad,Punjab Kings,22-05-2022,Mumbai,2022,134,3,15,136,0,Punjab Kings,Harpreet Brar
1304115,Delhi Capitals,Mumbai Indians,21-05-2022,Mumbai,2022,217,7,17,218,5,Mumbai Indians,JJ Bumrah
1304114,Chennai Super Kings,Rajasthan Royals,20-05-2022,Mumbai,2022,187,2,19,190,1,Rajasthan Royals,R Ashwin
1304113,Gujarat Titans,Royal Challengers Bangalore,19-05-2022,Mumbai,2022,77,8,19,79,10,Royal Challengers Bangalore,V Kohli
1304112,Lucknow Super Giants,Kolkata Knight Riders,18-05-2022,Navi Mumbai,2022,179,3,16,110,2,Lucknow Super Giants,Q de Kock
1304111,Sunrisers Hyderabad,Mumbai Indians,17-05-2022,Mumbai,2022,188,7,8,93,4,Sunrisers Hyderabad,RA Tripathi
1304110,Delhi Capitals,Punjab Kings,16-05-2022,Navi Mumbai,2022,143,3,17,86,8,Delhi Capitals,SN Thakur
1304109,Rajasthan Royals,Lucknow Super Giants,15-05-2022,Mumbai,2022,72,9,11,67,9,Rajasthan Royals,TA Boult
1304108,Chennai Super Kings,Gujarat Titans,15-05-2022,Mumbai,2022,99,1,19,103,10,Gujarat Titans,WP Saha
1304107,Kolkata Knight Riders,Sunrisers Hyderabad,14-05-2022,Pune,2022,146,0,11,95,2,Kolkata Knight Riders,AD Russell
1304106,Punjab Kings,Royal Challengers Bangalore,13-05-2022,Mumbai,2022,148,3,12,100,7,Punjab Kings,JM Bairstow
1304105,Chennai Super Kings,Mumbai Indians,12-05-2022,Mumbai,2022,110,0,16,114,5,Mumbai Indians,DR Sams
1304104,Rajasthan Royals,Delhi Capitals,11-05-2022,Navi Mumbai,2022,208,3,12,210,10,Delhi Capitals,MR Marsh
1304103,Gujarat Titans,Lucknow Super Giants,10-05-2022,Pune,2022,121,5,14,78,7,Gujarat Titans,Shubman Gill
1304102,Kolkata Knight Riders,Mumbai Indians,09-05-2022,Navi Mumbai,2022,185,9,11,101,1,Kolkata Knight Riders,JJ Bumrah
1304101,Chennai Super Kings,Delhi Capitals,08-05-2022,Navi Mumbai,2022,102,8,14,99,2,Chennai Super Kings,DP Conway
1304100,Royal Challengers Bangalore,Sunrisers Hyderabad,08-05-2022,Mumbai,2022,112,6,12,111,9,Royal Challengers Bangalore,PWH de Silva
1304099,Lucknow Super Giants,Kolkata Knight Riders,07-05-2022,Pune,2022,119,0,7,80,8,Lucknow Super Giants,Avesh Khan
1304098,Punjab Kings,Rajasthan Royals,07-05-2022,Mumbai,2022,200,9,13,205,9,Rajasthan Royals,YBK Jaiswal
1304097,Mumbai Indians,Gujarat Titans,06-05-2022,Mumbai,2022,124,8,8,104,5,Mumbai Indians,TH David
1304096,Delhi Capitals,Sunrisers Hyderabad,05-05-2022,Mumbai,2022,163,1,12,102,1,Delhi Capitals,DA Warner
1304095,Royal Challengers Bangalore,Chennai Super Kings,04-05-2022,Pune,2022,167,2,14,139,2,Royal Challengers Bangalore,HV Patel
1304094,Gujarat Titans,Punjab Kings,03-05-2022,Navi Mumbai,2022,143,7,15,146,4,Punjab Kings,K Rabada
1304093,Rajasthan Royals,Kolkata Knight Riders,02-05-2022,Mumbai,2022,78,6,12,79,4,Kolkata Knight Riders,RK Singh
1304092,Chennai Super Kings,Sunrisers Hyderabad,01-05-2022,Pune,2022,73,1,17,71,8,Chennai Super Kings,RD Gaikwad
1304091,Lucknow Super Giants,Delhi Capitals,01-05-2022,Mumbai,2022,157,7,19,77,7,Lucknow Super Giants,Mohsin Khan
1304090,Rajasthan Royals,Mumbai Indians,30-04-2022,Navi Mumbai,2022,164,0,18,166,5,Mumbai Indians,SA Yadav
1304089,Royal Challengers Bangalore,Gujarat Titans,30-04-2022,Mumbai,2022,107,8,18,112,1,Gujarat Titans,R Tewatia
1304088,Lucknow Super Giants,Punjab Kings,29-04-2022,Pune,2022,133,4,13,79,8,Lucknow Super Giants,KH Pandya
1304087,Kolkata Knight Riders,Delhi Capitals,28-04-2022,Mumbai,2022,109,6,19,110,2,Delhi Capitals,Kuldeep Yadav
1304086,Sunrisers Hyderabad,Gujarat Titans,27-04-2022,Mumbai,2022,89,1,12,90,9,Gujarat Titans,Umran Malik
1304085,Rajasthan Royals,Royal Challengers Bangalore,26-04-2022,Pune,2022,110,2,18,106,4,Rajasthan Royals,R Parag
1304084,Punjab Kings,Chennai Super Kings,25-04-2022,Mumbai,2022,147,9,7,81,8,Punjab Kings,S Dhawan
1304083,Lucknow Super Giants,Mumbai Indians,24-04-2022,Mumbai,2022,86,2,8,84,1,Lucknow Super Giants,KL Rahul
1304082,Royal Challengers Bangalore,Sunrisers Hyderabad,23-04-2022,Mumbai,2022,184,7,13,188,5,Sunrisers Hyderabad,M Jansen
1304081,Gujarat Titans,Kolkata Knight Riders,23-04-2022,Navi Mumbai,2022,109,0,7,74,9,Gujarat Titans,Rashid Khan
1304080,Rajasthan Royals,Delhi Capitals,22-04-2022,Mumbai,2022,193,8,18,131,9,Rajasthan Royals,JC Buttler
1304079,Mumbai Indians,Chennai Super Kings,21-04-2022,Navi Mumbai,2022,126,3,18,129,6,Chennai Super Kings,Mukesh Choudhary
1304078,Punjab Kings,Delhi Capitals,20-04-2022,Mumbai,2022,74,4,15,78,10,Delhi Capitals,Kuldeep Yadav
1304077,Royal Challengers Bangalore,Lucknow Super Giants,19-04-2022,Mumbai,2022,196,1,13,88,9,Royal Challengers Bangalore,F du Plessis
1304076,Rajasthan Royals,Kolkata Knight Riders,18-04-2022,Mumbai,2022,125,4,20,107,3,Rajasthan Royals,YS Chahal
