Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Column1
2680934765,2021-04-29,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,5,,Pune,1544000,3426000,yr,162,Ola,Rides,100%
2676359818,2020-07-06,Business Analyst,Business Analyst,Contract,Mid-Senior level,2,,Guwahati,1374000,2847000,hr,158,Gojek,Rides,100%
2696564504,2021-04-28,Business Analyst,Business Analyst,Contract,Mid-Senior level,6,,Noida,,,,156,Paytm,Payments,100%
2747921741,2021-05-24,Quality Assurance Analyst,Quality Assurance Analyst,Full-time,x,2,,Hyderabad,,,,132,Dunzo,Delivery,99%
2553004728,2020-10-09,Business Analyst,Senior Business Analyst,Full-time,Associate,5,,Mysore,,,,123,Cisco Systems India,Networking,99%
2733625749,2020-10-14,Business Analyst,"Business Analyst, Real-Time",Full-time,Entry level,1,,Bangalore,,,,121,JioTV,Streaming,99%
2741209663,2021-08-27,Business Analyst,Healthcare Business Analyst,Full-time,Mid-Senior level,6,,Bangalore,1034000,2239000,yr,105,OLX India,Classifieds,99%
2674043029,2017-03-22,Business Analyst,Business Analyst,Full-time,Associate,4,,Ahmedabad,,,,103,Adobe India,Software,99%
2695961413,2018-02-20,Data Scientist,Data Scientist,Full-time,Associate,4,,Guwahati,,,,104,Philips India,Electronics,99%
2673973577,2017-05-21,Business Analyst,Business Analyst,Full-time,Mid-Senior level,6,,Pune,,,,102,Broadcom India,Semiconductors,98%
2689514788,2018-11-27,Business Analyst,Business Analyst,Full-time,Mid-Senior level,6,,Hyderabad,1655000,3019000,yr,102,PTC India,Software,98%
2628507454,2020-07-08,Business Analyst,Senior Healthcare Business Analyst,Full-time,Mid-Senior level,6,,Pune,,,,95,Dell Technologies India,IT hardware,98%
2673566214,2020-09-29,Business Analyst,Business Analyst,Contract,Mid-Senior level,7,,Noida,2415000,2103000,hr,96,Accenture India,IT services,98%
2671977567,2018-07-18,Business Process Analyst,Business Process Analyst,Full-time,Associate,3,,Chennai,,,,92,DMart,Retail,98%
2702090141,2021-02-19,Business Analyst,Technical Business Analyst,Contract,Mid-Senior level,7,,Ahmedabad,1749000,2023000,yr,91,Cleartrip,Travel,98%
2676078471,2018-06-03,Data Analyst,Business Data Analyst,Contract,Associate,3,,New Delhi,,,,88,PayU,Payments,98%
2681739683,2019-04-22,Business Analyst,Business Analyst,Contract,Mid-Senior level,7,,Ahmedabad,,,,88,Practo,Healthcare,98%
2719808286,2017-10-07,User Experience Researcher,User Experience Researcher,Contract,Associate,3,,Kolkata,,,,86,WinZO,Fantasy,98%
2748036089,2018-10-25,Data Analyst,Healthcare Data Analyst,Full-time,Associate,3,,Bangalore,,,,85,Fujitsu India,IT hardware,97%
2687063813,2018-12-16,Business Analyst,Business Analyst,Contract,Mid-Senior level,5,,Mumbai,1891000,2898000,hr,85,Flipkart Plus,Subscription,97%
2608222990,2020-06-15,Data Engineer,Spanish-Speaking Data Engineer,Contract,Mid-Senior level,0,,Kolkata,,,,82,Intel India,Semiconductors,97%
2697691134,2019-12-19,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,2,,New Delhi,,,,81,Coursera,Education,97%
2683974957,2020-04-23,Business Analyst,Data Business Analyst,Full-time,Associate,2,,Indore,"10,46,000.00","11,16,000.00",yr,81,Goibibo,Travel,97%
2692416594,2020-09-19,Data Analyst,Data Analyst,Contract,Mid-Senior level,6,,Pune,,,,78,Tata Consultancy Services (TCS),IT services,97%
2673996926,2021-03-07,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,1,,Bangalore,,,,77,Stayzilla,Hotels,97%
2696394808,2021-07-01,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,2,,Bangalore,,,,77,Linode,Cloud,97%
2752222837,2021-06-14,Credit Analyst,Credit Analyst,Contract,Associate,3,,Hyderabad,,,,76,Netmeds,Pharmacy,97%
